 SSID,MAC,Channel,Signal,Latitude,Longitude,Altitude
 ESSID,BSSID, channel, Power,51.217314677,4.41918433,12.7654
 ghesunito burrito,6C:5A:B0:CB:83:C7,  9, -48,51.217314677,4.41918433,12.7654
 devangeytjes,A4:97:33:7B:F1:FB, 11, -67,51.217314677,4.41918433,12.7654
 _IH FREE WIFI WAGAMAMA,EE:63:DA:B7:1E:8C,  1, -80,51.217314677,4.41918433,12.7654
 McDonalds Employee,0A:8D:DB:66:60:79,  1, -66,51.217314677,4.41918433,12.7654
 Bistro René GUEST,26:5A:4C:1F:77:62,  1, -61,51.217314677,4.41918433,12.7654
 Bistro René PRIVATE,24:5A:4C:7F:77:62,  1, -61,51.217314677,4.41918433,12.7654
 Wagamama - Intern 2.4,EA:63:DA:B7:1E:8C,  1, -81,51.217314677,4.41918433,12.7654
 McD_HHOT,0C:8D:DB:66:60:79,  1, -66,51.217314677,4.41918433,12.7654
 McDonalds Freewifi,06:8D:DB:66:60:79,  1, -66,51.217314677,4.41918433,12.7654
 McD-IoT,1E:8D:DB:66:60:79,  1, -67,51.217314677,4.41918433,12.7654
 ,32:8D:DB:66:60:79,  1, -66,51.217314677,4.41918433,12.7654
 Meraki Setup,AC:17:C8:06:29:46,  1, -79,51.217314677,4.41918433,12.7654
 Redmi A2,56:FF:02:55:BA:59,  1, -87,51.217314677,4.41918433,12.7654
 iPhone,36:76:5D:36:62:F8,  6, -79,51.217314677,4.41918433,12.7654
 Braille5,40:C7:29:61:B3:E6, 13, -55,51.217314677,4.41918433,12.7654
 Proximus Public Wi-Fi,42:C7:29:61:B3:E7, 13, -55,51.217314677,4.41918433,12.7654
  FREEWIFI Bistro René Antwerpen,C8:08:73:61:FD:18, 13, -82,51.217314677,4.41918433,12.7654
 FREE WIFI,C8:08:73:A1:FD:18, 13, -80,51.217314677,4.41918433,12.7654
 Braille,54:AF:97:9C:25:19,  3, -67,51.217314677,4.41918433,12.7654
 devangeytjes,54:AF:97:46:23:6A,  3, -86,51.217314677,4.41918433,12.7654
 ,8E:5A:B0:CB:83:C7,  9, -49,51.217314677,4.41918433,12.7654
 Toerab,68:02:B8:C3:D8:4C, 11, -81,51.217314677,4.41918433,12.7654
 Pieter Robberechts,B4:F2:67:2B:54:C8, 11, -71,51.217314677,4.41918433,12.7654
 telenet-0F0CB,DC:53:7C:ED:DB:93, 11, -83,51.217314677,4.41918433,12.7654
 AndroidAPc685,1E:61:41:F7:9D:7E,  6, -76,51.217314677,4.41918433,12.7654
 Bistro René GUEST,26:5A:4C:9C:F0:A3,  6, -80,51.217314677,4.41918433,12.7654
 McD-IoT,1E:8D:DB:66:6D:DC,  6, -50,51.217314677,4.41918433,12.7654
 ,32:8D:DB:66:6D:DC,  6, -50,51.217314677,4.41918433,12.7654
 Badmanladder,62:69:12:A3:AA:10,  6, -74,51.217314677,4.41918433,12.7654
 neowifi,00:18:05:17:BD:5F,  6, -87,51.217314677,4.41918433,12.7654
 Wagamama - Intern 2.4,82:8A:20:B7:0C:D0,  6, -85,51.217314677,4.41918433,12.7654
 McD_HHOT,0C:8D:DB:66:6D:DC,  6, -50,51.217314677,4.41918433,12.7654
 McDonalds Employee,0A:8D:DB:66:6D:DC,  6, -50,51.217314677,4.41918433,12.7654
 McDonalds Freewifi,06:8D:DB:66:6D:DC,  6, -49,51.217314677,4.41918433,12.7654
 Hpharma,A0:A3:B8:0B:BD:A0,  6, -80,51.217314677,4.41918433,12.7654
 DIRECT-D9-HP ENVY 5000 series,FA:B4:6A:06:CC:D9,  6, -79,51.217314677,4.41918433,12.7654
 ,1C:64:99:2E:72:E4,  1,  -1,51.217314677,4.41918433,12.7654
 telenet-4C61FDD,38:43:7D:30:B7:CF,  1, -81,51.217314677,4.41918433,12.7654
 Wagamama - Intern,E0:63:DA:B7:1E:8C,  1, -79,51.217314677,4.41918433,12.7654
 ,E8:D2:FF:6D:38:D6,  7,  -1,51.217314677,4.41918433,12.7654
 TRF-Service,94:BF:C4:21:28:28,  2, -85,51.217314677,4.41918433,12.7654
 default,00:50:18:51:34:08,  5, -87,51.217314677,4.41918433,12.7654
 V for me,D2:21:F9:9F:0D:21, 11, -88,51.217314677,4.41918433,12.7654
